debate_id,turn_index,span_index,speaker,start,end,text,reason,reason_form,reason_frame,reason_domain,turn_char_len,turn_word_len,span_char_len,span_word_len,rel_start,rel_end,rel_len
20001003_gore_bush,0,0,GORE,252,309,I have actually not questioned Governor Bush’s experience,,['non-quantitative fact'],['speech attribution'],['domestic politics'],1742,307,57,8,0.1446613088404133,0.17738231917336394,0.032721010332950634
20001003_gore_bush,0,1,GORE,890,932,I will cut taxes for middle-class families,TODO,['non-quantitative fact'],['stance'],['economy'],1742,307,42,7,0.5109070034443168,0.5350172215843858,0.024110218140068886
20001003_gore_bush,1,0,BUSH,198,322,I want to take one-half of the surplus and dedicate it to Social Security. One-quarter of the surplus for important projects,,['non-quantitative fact'],['stance'],['economy'],945,166,124,21,0.20952380952380953,0.34074074074074073,0.1312169312169312
20001003_gore_bush,1,1,BUSH,328,406,I want to send one-quarter of the surplus back to the people who pay the bills,,['non-quantitative fact'],['stance'],['economy'],945,166,78,16,0.3470899470899471,0.42962962962962964,0.08253968253968254
20001003_gore_bush,1,2,BUSH,527,582,which will increase the size of government dramatically,,['forecast'],[],['domestic politics'],945,166,55,8,0.5576719576719577,0.6158730158730159,0.0582010582010582
20001003_gore_bush,1,3,BUSH,584,669,His plan is three times larger than President Clinton’s proposed plan eight years ago,,"['comparison', 'temporal reference']",['stance'],['domestic politics'],945,166,85,14,0.617989417989418,0.707936507936508,0.08994708994708994
20001003_gore_bush,1,4,BUSH,671,770,"It is a plan that will have 200 new programs — expanded programs and creates 20,000 new bureaucrats",,"['quantitative precise', 'forecast']",['stance'],['domestic politics'],945,166,99,18,0.71005291005291,0.8148148148148148,0.10476190476190476
20001003_gore_bush,2,0,GORE,170,396,"Under Governor Bush’s tax cut proposal, he would spend more money on tax cuts for the wealthiest 1% than all of the new spending that he proposes for education, health care, prescription drugs and national defense all combined",,['comparison'],['stance'],"['economy', 'health/medicine', 'education', 'defense/military']",1176,216,226,38,0.1445578231292517,0.336734693877551,0.1921768707482993
20001003_gore_bush,2,1,GORE,448,606,"under my proposal, for every dollar that I propose in spending for things like education and health care, I will put another dollar into middle class tax cuts",,['quantitative precise'],['stance'],['economy'],1176,216,158,28,0.38095238095238093,0.5153061224489796,0.13435374149659865
20001003_gore_bush,2,2,GORE,612,715,"for every dollar that I spend in those two categories, I’ll put $2 toward paying down the national debt",,['quantitative precise'],['stance'],['economy'],1176,216,103,19,0.5204081632653061,0.6079931972789115,0.08758503401360544
20001003_gore_bush,2,3,GORE,882,927,Our country has cut the welfare rolls in half,,['quantitative precise'],['behavioral attribution'],['economy'],1176,216,45,9,0.75,0.7882653061224489,0.03826530612244898
20001003_gore_bush,2,4,GORE,929,1016,I fought hard from my days in the Senate and as vice president to cut the welfare rolls,,['non-quantitative fact'],"['behavioral attribution', 'stance']","['economy', 'domestic politics']",1176,216,87,18,0.7899659863945578,0.8639455782312925,0.07397959183673469
20001003_gore_bush,3,0,BUSH,147,242,over the next ten years it is going to be $25 trillion of revenue that comes into our treasurey,,"['forecast', 'temporal reference']",[],['economy'],968,181,95,19,0.1518595041322314,0.25,0.0981404958677686
20001003_gore_bush,3,1,BUSH,247,282,we anticipate spending $21 trillion,,['non-quantitative fact'],[],['economy'],968,181,35,5,0.25516528925619836,0.29132231404958675,0.03615702479338843
20001003_gore_bush,3,2,BUSH,404,454,the $25 trillion that are coming into the treasury,,['non-quantitative fact'],[],['economy'],968,181,50,9,0.41735537190082644,0.4690082644628099,0.05165289256198347
20001003_gore_bush,4,0,BUSH,144,222,I’ve been the chief executive officer of the second biggest state in the union,,['ranking'],['behavioral attribution'],['domestic politics'],518,95,78,14,0.277992277992278,0.42857142857142855,0.15057915057915058
20001003_gore_bush,5,0,GORE,166,341,"He spends more money for tax cuts for the wealthiest 1% than all of his new spending proposals for health care, prescription drugs, education and national defense all combined",,['comparison'],"['behavioral attribution', 'stance']","['economy', 'health/medicine', 'education', 'defense/military']",591,108,175,29,0.2808798646362098,0.5769881556683587,0.2961082910321489
